;group_id;user;task_id;n_attempt;spatialDimension;percSpatialValue;PercentileSpatialAbove85;PercentileSpatialBelow15;engageDimension;percEngageValue;PercentileEngageAbove85;PercentileEngageBelow15;exploreDimension;percExploreValue;PercentileExploreAbove85;PercentileExploreBelow15;experimentDimension;percExperimentValue;PercentileExperimentAbove85;PercentileExperimentBelow15;reflexDimension;percReflexValue;PercentileReflexAbove85;PercentileReflexBelow15;errorRectDimension;percErrorRectValue;PercentileErrorRectAbove85;PercentileErrorRectBelow15;persistenceDimension;percPersistenceValue;PercentilePersistenceAbove85;PercentilePersistenceBelow15;completed
2896;e6af7d42084352a39449e6d0a09b18cd;f520f6763fdb355659089797cfbd25e0;Bird Fez;11;0.0;10.2880658436214;False;False;114.12401799999999;26.337448559670783;False;False;10.0;15.843621399176955;False;False;0.28382793208845003;78.60082304526749;False;False;20.441295;18.106995884773664;False;False;0.0;24.074074074074076;False;False;85.26687514285713;29.62962962962963;False;False;True
2919;e6af7d42084352a39449e6d0a09b18cd;f69a717e8b17ef8d693def8d5a8f4993;Bird Fez;14;0.05;21.60493827160494;False;False;176.09730900000002;44.8559670781893;False;False;13.0;45.26748971193416;False;False;0.1971758020920482;30.8641975308642;False;False;90.333803;88.47736625514403;True;False;0.0;24.074074074074076;False;False;129.14730900000004;46.91358024691358;False;False;True
2929;e6af7d42084352a39449e6d0a09b18cd;f7383b2902f1761b425ff7df7ae095fc;Bird Fez;9;0.32107843137254904;58.84773662551441;False;False;424.2666839999999;79.42386831275721;False;False;16.0;91.97530864197532;True;False;0.2792654318927769;76.54320987654322;False;False;23.476153857142858;22.22222222222222;False;False;4.0;84.36213991769547;False;False;313.437415707317;81.48148148148148;False;False;True
2939;e6af7d42084352a39449e6d0a09b18cd;fb039fa921dd55d1b7eb210d8a5f75fc;Bird Fez;11;0.37030075187969924;67.48971193415638;False;False;328.2429420000001;70.78189300411523;False;False;15.0;81.48148148148148;False;False;0.15103144790538875;19.34156378600823;False;False;93.108523;89.7119341563786;True;False;8.0;94.85596707818931;True;False;240.2774247586208;72.42798353909465;False;False;True
2961;e6af7d42084352a39449e6d0a09b18cd;ffa946ca09448817699cabbb3dd78d56;Bird Fez;11;0.0;10.2880658436214;False;False;33.070256;8.23045267489712;False;False;7.0;11.728395061728396;False;True;0.173383424960694;22.63374485596708;False;False;4.453429;9.465020576131687;False;True;0.0;24.074074074074076;False;False;23.070255999999997;8.23045267489712;False;True;False
2962;e6af7d42084352a39449e6d0a09b18cd;ffa946ca09448817699cabbb3dd78d56;Bird Fez;13;0.16666666666666666;36.0082304526749;False;False;137.740646;32.510288065843625;False;False;13.0;45.26748971193416;False;False;0.21289004259106162;37.03703703703704;False;False;41.740348;57.20164609053498;False;False;0.0;24.074074074074076;False;False;99.803146;34.97942386831276;False;False;True
3;4fe25833f555e9903d2bb6bbeec3fbfb;2085341eede3ffb7e2ffc72bbf0ae02b;Boxes Obscure Spheres;17;0.5909090909090909;85.71428571428572;True;False;671.4704579999998;91.42857142857143;True;False;14.0;75.51020408163265;False;False;0.09195970046702448;11.83673469387755;False;True;50.057638;76.3265306122449;False;False;6.0;86.3265306122449;False;False;478.47045799999984;91.0204081632653;True;False;False
4;4fe25833f555e9903d2bb6bbeec3fbfb;2085341eede3ffb7e2ffc72bbf0ae02b;Boxes Obscure Spheres;18;0.0;12.857142857142858;False;False;22.970921;8.16326530612245;False;False;3.0;5.3061224489795915;False;True;0.0;4.8979591836734695;False;True;0.0;4.8979591836734695;False;True;0.0;16.53061224489796;False;False;16.970921;9.795918367346939;False;True;False
25;4fe25833f555e9903d2bb6bbeec3fbfb;a89dc0a90ec4abfdc92e621e3ca80748;Boxes Obscure Spheres;14;0.0;12.857142857142858;False;False;154.478921;33.87755102040816;False;False;11.0;34.69387755102041;False;False;0.17172519438543785;19.591836734693878;False;False;76.64236199999999;89.79591836734694;True;False;1.0;39.59183673469388;False;False;125.57892100000001;37.95918367346939;False;False;False
31;4fe25833f555e9903d2bb6bbeec3fbfb;afa648f0959b8ff1a10ddb9c643aa172;Boxes Obscure Spheres;26;0.8277777777777778;95.91836734693878;True;False;170.84924;36.734693877551024;False;False;10.0;26.53061224489796;False;False;0.2107354011599717;37.142857142857146;False;False;69.9901;86.12244897959184;True;False;0.0;16.53061224489796;False;False;113.90187157894736;36.3265306122449;False;False;False
